sourceID_encoded,timediff,PTAB,BodyGroup_from_encoded,BodyGroup_to_encoded,text,PL1,PL2,PL3,PL4,PR1,PR2,PR3,PR4,B1P,B2P,B3P,B4P,B5P,15K
13,0.0,-803700,10,10,,,,,,,,,,,,,,,
10,0.0,-803700,10,10,"Measurement finished OK. (Protocol: 'AX T2 DSA', Sequence: '%SiemensSeq%\tse')",,,,,,,,,,,,,,
4,12.0,-1714950,10,10,Patient table has started moving. Absolute PTAB Position: -1714950,,,,,,,,,,,,,,
12,13.0,-1714950,10,10,Measurement control information: measurement has been stopped by user. ID: syngo.MR.MRI_MSR_NlsMessageId.Resources.MSRmsg.MRI_MSR_I_34_USER_STOP,,,,,,,,,,,,,,
5,22.0,-1714950,10,10,"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 1, argument values are boolean.",,,,,,,,,,,,,,
8,50.0,-1714950,10,10,A patient has been registered successfully (2ddf2b58cdf59f4a28b2c08af0eee0be8a7fa7a4).,,,,,,,,,,,,,,
5,66.0,-1714950,10,10,"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",,,,,,,,,,,,,,
5,73.0,-1714950,10,10,"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",,,,,,,,,,,,,,
5,142.0,-1714950,10,10,"YAxisUpPossible: 1, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 0, argument values are boolean.",,,,,,,,,,,,,,
5,159.0,-1714950,10,10,"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 1, argument values are boolean.",,,,,,,,,,,,,,
4,159.0,250,10,10,Patient table has started moving. Absolute PTAB Position: 250,,,,,,,,,,,,,,
5,160.0,250,10,10,"YAxisUpPossible: 1, YAxisDownPossible: 1, argument values are boolean. ZAxisOutPossible: 0, ZAxisInPossible: 1, argument values are boolean.",,,,,,,,,,,,,,
1,165.0,250,10,10,"Coil change event was handled successfully. (Coil context: 'default'. Coil plug codes: 'ff,0,0,0,0,13161315,1314,131c,131d,0,0'. Connected coil elements: BC,HE1-4,NE1,2,SP1-8.)",,,,,,,,,,,,,,
4,165.0,-200,10,10,Patient table has started moving. Absolute PTAB Position: -200,,,,,,,,,,,,,,
5,168.0,-200,10,10,"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",,,,,,,,,,,,,,
4,168.0,-284000,10,10,Patient table has started moving. Absolute PTAB Position: -284000,,,,,,,,,,,,,,
5,170.0,-284000,10,10,"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",,,,,,,,,,,,,,
4,170.0,-334550,10,10,Patient table has started moving. Absolute PTAB Position: -334550,,,,,,,,,,,,,,
5,171.0,-334550,10,10,"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",,,,,,,,,,,,,,
4,185.0,-352650,10,10,Patient table has started moving. Absolute PTAB Position: -352650,,,,,,,,,,,,,,
5,187.0,-352650,10,10,"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",,,,,,,,,,,,,,
4,187.0,-428350,10,10,Patient table has started moving. Absolute PTAB Position: -428350,,,,,,,,,,,,,,
5,190.0,-428350,10,10,"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",,,,,,,,,,,,,,
7,190.0,-428350,10,10,Patient has been positioned,,,,,,,,,,,,,,
4,191.0,-353600,10,10,Patient table has started moving. Absolute PTAB Position: -353600,,,,,,,,,,,,,,
5,197.0,-353600,10,10,"YAxisUpPossible: 0, YAxisDownPossible: 0, argument values are boolean. ZAxisOutPossible: 1, ZAxisInPossible: 1, argument values are boolean.",,,,,,,,,,,,,,
9,215.0,-353600,10,10,"Start prepare. (Protocol: 'AASpine_Scout', Sequence: '%SiemensSeq%\AALScout')",,,,,,,,,,,,,,
14,215.0,-353600,0,0,,,,,,,,,,,,,,,
14,215.0,-353600,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,215.0,-353600,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,215.0,-353600,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,215.0,-353600,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,215.0,-353600,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,215.0,-353600,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,215.0,-353600,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,215.0,-353600,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
